setup_id,rank,sharpe_lb,sharpe_median,calmar,sortino,max_drawdown,support,annualized_return,volatility,first_trigger_date,last_trigger_date,sharpe_1d,sharpe_3d,sharpe_5d,sharpe_10d,sharpe_21d,description,signal_ids
SETUP_0025,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0026,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0027,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0028,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0029,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0030,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0031,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0032,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0033,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0034,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0035,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0036,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0037,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0038,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0039,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0040,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
